"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 27 14:01:55 UTC 2022","Fri May 27 14:01:55 UTC 2022","376","","","","","","POST a new checklist to a card",""
"passed","Fri May 27 14:01:49 UTC 2022","Fri May 27 14:01:50 UTC 2022","797","","","","","","POST an attachment to a card from an url -- @1.2 ",""
"passed","Fri May 27 14:01:49 UTC 2022","Fri May 27 14:01:49 UTC 2022","462","","","","","","POST an attachment to a card from an url -- @1.1 ",""
"passed","Fri May 27 14:01:58 UTC 2022","Fri May 27 14:01:58 UTC 2022","728","","","","","","GET a checklist item by its id",""
"passed","Fri May 27 14:01:56 UTC 2022","Fri May 27 14:01:57 UTC 2022","480","","","","","","GET all completed checklist items on a card",""
"passed","Fri May 27 14:01:54 UTC 2022","Fri May 27 14:01:55 UTC 2022","327","","","","","","GET a checklist by id",""
"passed","Fri May 27 14:01:52 UTC 2022","Fri May 27 14:01:54 UTC 2022","1697","","","","","","DELETE an attachment from a card",""
"passed","Fri May 27 14:01:46 UTC 2022","Fri May 27 14:01:47 UTC 2022","1217","","","","","","GET all attachments from a card",""
"passed","Fri May 27 14:01:55 UTC 2022","Fri May 27 14:01:56 UTC 2022","486","","","","","","Update a checklist",""
"passed","Fri May 27 14:01:57 UTC 2022","Fri May 27 14:01:58 UTC 2022","508","","","","","","POST a new checklist item to a checklist",""
"passed","Fri May 27 14:01:58 UTC 2022","Fri May 27 14:01:59 UTC 2022","678","","","","","","Update a checklist item",""
"passed","Fri May 27 14:01:54 UTC 2022","Fri May 27 14:01:54 UTC 2022","353","","","","","","GET all checklists on a card",""
"passed","Fri May 27 14:01:56 UTC 2022","Fri May 27 14:01:56 UTC 2022","494","","","","","","DELETE a checklist",""
"passed","Fri May 27 14:01:50 UTC 2022","Fri May 27 14:01:50 UTC 2022","290","","","","","","POST an attachment to a card from an url -- @1.3 ",""
"passed","Fri May 27 14:01:47 UTC 2022","Fri May 27 14:01:49 UTC 2022","1396","","","","","","GET an attachment from a card",""
"passed","Fri May 27 14:01:51 UTC 2022","Fri May 27 14:01:52 UTC 2022","1530","","","","","","POST an attachment to a card from an url -- @1.5 ",""
"passed","Fri May 27 14:01:50 UTC 2022","Fri May 27 14:01:51 UTC 2022","497","","","","","","POST an attachment to a card from an url -- @1.4 ",""
"passed","Fri May 27 14:01:59 UTC 2022","Fri May 27 14:02:00 UTC 2022","677","","","","","","DELETE a checklist item",""
"passed","Fri May 27 14:01:57 UTC 2022","Fri May 27 14:01:57 UTC 2022","458","","","","","","GET all checklist items on a checklist",""
